input,output
are you free today,YOU FREE TODAY
are you hiding something,YOU HIDE SOMETHING
bring water for me,BRING WATER ME
can i help you,I HELP YOU
can you repeat that please,YOU REPEAT PLEASE
comb your hair,COMB YOU HAIR
congratulations,CONGRATULATIIONS
could you please talk slower,YOU PLEASE TALK SLOWER
do me a favour,DO ME FAVOUR
do not abuse him,DONOT ABUSE HIM
do not be stubborn,DONOT BE STUBBORN
do not hurt me,DONOT HURT ME
do not make me angry,DO NOT MAKE ME ANGRY
do not take it to the heart,DO NOT TAKE IT HEART
do not worry,DO NOT WORRY
do you need something,DO YOU NEED SOMETHING
go and sleep,GO SLEEP
had your food,YOUR FOOD
he came by train,HE CAME TRAIN
He is going into the room,HE GO  INTO  ROOM
he is on the way,HE ON WAY
he she is my friend,HE SHE MY FRIEND
he would be coming today,HE COMING TODAY
help me,HELP ME
hi how are you,HI HOW YOU
how are things,HOW THINGS
how can i help you,HOW I HELP YOU
how can i trust you,HOW I TRUST YOU
how dare you,HOW DARE YOU
how old are you,HOW OLD YOU
i am (age),I (AGE)
i am afraid of that,I AFRAID THAT
i am crying,I CRY
i am feeling bored,I FEELING BORED
i am feeling cold,I FEELING COLD
i am fine. thank you sir,I FINE. THANK YOU SIR
i am hungry,I HUNGRY
i am in dilemma what to do,I IN DILEMMA WHAT TO DO
i am not really sure,I NOT REALLY SURE
i am really grateful,I REALLY GRATEFUL
i am sitting in the class,I SITTING IN THE CLASS
i am so sorry to hear that,I AM SO SORRY TO HEAR THAT
i am suffering from fever,I SUFFERING FROM FEVER
i am tired,I TIRED
i am very happy,I VERY HAPPY
i can not help you there,I NOT HELP YOU THERE
i do not agree,I DONOT AGREE
i do not like it,I DO NOT LIKE IT
i do not mean it,I DO NOT MEAN IT
i dont agree,I DONT AGREE
i enjoyed a lot,I ENJOYED A LOT
i got hurt,I GOT HURT
i like you i love you,I LIKE YOU I LOVE YOU
i need water,I NEED WATER
i promise,I PROMISE
i really appreciate it,I REALLY APPRECIATE IT
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT
i was stopped by some one,I STOPPED BY SOMEONE
it does not make any difference to me,IT DO NOT MAKE ANY DIFFERENCE TO ME
it was nice chatting with you,IT NICE CHAT WITH YOU
let him take time,LET HIM TAKE TIME
my name is xxxxxxxx,MY NAME XXXXXXXX
nice to meet you,NICE MEET YOU
No need to worry dont worry,NO NEED WORRY DONT WORRY
now onwards he will never hurt you,NOW ONWARDS HE NEVER HURT YOU
pour some more water into the glass,POUR SOME MORE WATER INTO THE GLASS
prepare the bed,PREPARE BED
serve the food,SERVE FOOD
shall we go outside,WE GO OUTSIDE
speak softly,SPEAK SOFTLY
take care of yourself,TAKE CARE OF YOURSELF
tell me truth,TELL ME TRUTH
thank you so much,THANK YOU SO MUCH
that is so kind of you,THAT KIND YOU
This place is beautiful,THIS PLACE BEAUTIFUL
try to understand,TRY TO UNDERSTAND
turn on light turn off light,TURN ON LIGHT TURN OFF LIGHT
we are all with you,WE ALL WITH YOU
wear the shirt,WEAR SHIRT
what are you doing,WHAT YOU DO
what did you tell him,WHAT YOU TELL HIM
what do you do,WHAT YOU DO
what do you think,WHAT DO YOU THINK
what do you want to become,WHAT DO YOU WANT BECOME
what happened,WHAT HAPPENED
what have you planned for your career,WHAT HAVE YOU PLAN YOUR CAREER
what is your phone number,WHAT YOUR PHONE NUMBER
what you want,WHAT YOU WANT
when will the train leave,WHEN TRAIN LEAVE
where are you from,WHERE YOU FROM
which college school are you from,WHICH COLLEGE SCHOOL YOU FROM
who are you,WHO YOU
why are you angry,WHY YOU ANGRY
why are you crying,WHY YOU CRY
why are you disappointed,WHY YOU DISAPPOINTED
you are bad,YOU BAD
you are good,YOU GOOD
you are welcome,YOU WELCOME
you can do it,YOU DO IT
"you do anything, i do not care","YOU DO ANYTHING, I DO NOT CARE"
"you need a medicine, take this one","YOU NEED A MEDICINE, TAKE THIS ONE"
you free today,YOU FREE TODAY
please are you free today,PLEASE YOU FREE TODAY
are you sir free today,YOU SIR FREE TODAY
I want to you free today,I WANT TO YOU FREE TODAY
let me you free today,LET ME YOU FREE TODAY
you hiding something,YOU HIDING SOMETHING
please are you hiding something,PLEASE YOU HIDING SOMETHING
are you sir hiding something,YOU SIR HIDING SOMETHING
please bring water for me,PLEASE BRING WATER FOR ME
I need to bring water for,I NEED TO BRING WATER FOR
I want to bring water for,I WANT TO BRING WATER FOR
i help you,I HELP YOU
please can i help you,PLEASE I HELP YOU
can i help you sir,I HELP YOU SIR
I want to help you,I WANT TO HELP YOU
